,ret1,ret2,ret3,ret4,ret5
2000-01-10,2.109446323844999,6.727690209602777,6.309258161988218,5.012269375495748,2.555808590651587
2000-01-11,-0.496065140540658,1.613381183304341,6.231625069062119,5.81319302144756,4.51620423495509
2000-01-12,0.3123729690191368,-0.18369217152152117,1.9257541523234778,6.543998038081256,6.125565990466697
2000-01-13,0.6225497852479833,0.9349227542671201,0.43885761372646215,2.548303937571461,7.166547823329239
2000-01-14,3.0752958730541735,3.697845658302157,4.010218627321294,3.5141534867806357,5.623599810625635
2000-01-17,1.18736115573288,4.2626570287870535,4.885206814035037,5.197579783054174,4.701514642513516
2000-01-18,-2.6067978664773506,-1.4194367107444705,1.655859162309703,2.2784089475576863,2.590781916576823
2000-01-19,0.26717106804596824,-2.3396267984313823,-1.1522656426985023,1.9230302303556712,2.5455800156036545
2000-01-20,0.304429600564049,0.5716006686100172,-2.0351971978673333,-0.8478360421344533,2.22745983091972
2000-01-21,-1.700241872669217,-1.395812272105168,-1.1286412040591998,-3.7354390705365503,-2.5480779148036703
2000-01-24,-0.8726934969088163,-2.5729353695780333,-2.2685057690139843,-2.001334700968016,-4.608132567445367
2000-01-25,-1.780768767263119,-2.653462264171935,-4.353704136841152,-4.049274536277103,-3.782103468231135
2000-01-26,2.3185574722219826,0.5377887049588637,-0.3349047919499526,-2.0351466646191696,-1.7307170640551206
2000-01-27,2.2243443498656035,4.542901822087586,2.762133054824467,1.8894395579156509,0.18919768524643388
2000-01-28,-0.8388820803585162,1.3854622695070873,3.70401974172907,1.923250974465951,1.0505574775571347
2000-01-31,-3.3235208745466593,-4.1624029549051755,-1.938058605039572,0.38049886718241055,-1.4002699000807084
2000-02-01,3.094859330509969,-0.22866154403669015,-1.0675436243952063,1.1568007254703971,3.4753581976923797
2000-02-02,1.708475401322751,4.80333473183272,1.4798138572860609,0.6409317769275447,2.865276126793148
2000-02-03,2.5102093898354383,4.218684791158189,7.3135441216681585,3.990023247121499,3.151141166762983
2000-02-04,1.221055695492268,3.7312650853277063,5.439740486650457,8.534599817160426,5.211078942613767
2000-02-07,-2.012017488106288,-0.79096179261402,1.7192475972214183,3.4277229985441693,6.5225823290541385
2000-02-08,3.4161566205538563,1.4041391324475683,2.6251948279398363,5.135404217775275,6.843879619098026
2000-02-09,1.043952217597699,4.460108838151555,2.4480913500452672,3.6691470455375352,6.1793564353729735
2000-02-10,1.0452327646106596,2.0891849822083586,5.505341602762215,3.493324114655927,4.714379810148195
2000-02-11,-1.2756698552198742,-0.23043709060921458,0.8135151269884844,4.229671747542341,2.2176542594360527
2000-02-14,0.4358847757940154,-0.8397850794258588,0.20544768518480083,1.2493999027824998,4.665556523336356
2000-02-15,-3.3068778006287047,-2.8709930248346893,-4.1466628800545635,-3.101430115443904,-2.057477897846205
2000-02-16,1.265462218556479,-2.0414155820722257,-1.6055308062782103,-2.8812006614980845,-1.835967896887425
2000-02-17,1.197159293251815,2.462621511808294,-0.8442562888204108,-0.4083715130263954,-1.6840413682462696
2000-02-18,-0.08908357606234318,1.1080757171894717,2.3735379357459507,-0.933339864882754,-0.4974550890887386
2000-02-21,0.22091354353310777,0.1318299674707646,1.3289892607225795,2.5944514792790585,-0.7124263213496462
