"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"DAX_benchmark","DAX","1 day",2023-12-20,-3.32126527152158,-0.543724181724903,0.0693890761602312,0.725670390369393,2.71977200360272,-0.273071484452636,0.152409689353447,0.135326348636133,0.342460560612867,0.499370937411014,0.149642174402768,0.255841942083246,0.342460560612867,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-12-20,-2.10253267151922,-0.552059798145068,0.0812353778485936,0.795920052202367,2.11683343343066,-0.273071484452636,0.0914730593533292,0.139494156846216,0.35430686230123,0.534495768327502,0.119495245894165,0.247853018544488,0.35430686230123,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-12-20,-2.14995145797729,-0.479547328115482,0.0630229206958307,0.639341749834621,1.85046064853668,-0.273071484452636,0.0938439986762327,0.103237921831423,0.336094405148467,0.456206617143629,0.106176606649466,0.219111909889843,0.336094405148467,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-12-20,-2.52094213797726,-0.479547328115482,0.075928845662343,0.639341749834621,2.21920154909643,-0.273071484452636,0.112393532676231,0.103237921831423,0.349000330114979,0.456206617143629,0.124613651677453,0.229090410688743,0.349000330114979,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","1 day",2023-12-20,-2.70678221848612,-0.498470486337656,0.0437895846375729,0.642016223999866,2.37859165552761,-0.273071484452636,0.121685536701674,0.11269950094251,0.316861069090209,0.457543854226251,0.132583156999012,0.228274623591931,0.316861069090209,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-12-20,-0.650418593407118,-0.0549009294700475,0.224057729711458,0.770308170178646,1.28825455870271,-0.273071484452636,0.0188673554477241,0.327255832473883,0.497129214164094,0.521689827315641,0.0780663021577672,0.288601706311822,0.497129214164094,FALSE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2023-12-20,-3.572,-1.873,0.742,3.341,5.462,-0.273071484452636,0.164946425777368,0.799964257773682,1.01507148445264,1.80703574222632,0.286753574222632,0.814754296890527,1.01507148445264,TRUE,TRUE,FALSE
"Phoebe","DAX","1 day",2023-12-20,-1.71279652574754,-0.393846748036975,0.0439378618609432,0.544948263391287,1.66335532113913,-0.273071484452636,0.0719862520647452,0.0603876317921695,0.317009346313579,0.409009873921962,0.0968213402795884,0.191042888874409,0.317009346313579,TRUE,TRUE,FALSE
"JakePeralta","DAX","1 day",2023-12-20,-2.99522111770982,-0.651259575828636,0.0903487678144599,0.831957111457556,3.17591865333874,-0.273071484452636,0.136107481662859,0.189094045688,0.363420252267096,0.552514297955096,0.172449506889569,0.282717116892524,0.363420252267096,TRUE,TRUE,FALSE
"TormundGiantsbane","DAX","1 day",2023-12-20,-1.53423845498836,-0.417354184162442,0.0363751270511126,0.495282720732029,1.52003894011568,-0.273071484452636,0.0630583485267862,0.072141349854903,0.309446611503749,0.384177102592333,0.0896555212284159,0.183695786741237,0.309446611503749,TRUE,TRUE,FALSE
"TyrionLannister","DAX","1 day",2023-12-20,-0.504559388233572,-0.0715132019442954,0.187225675308067,0.607386266666055,1.09962142803994,-0.273071484452636,0.0115743951890468,0.302337423762511,0.460297159760703,0.440228875559345,0.068634645624629,0.256614499979247,0.460297159760703,FALSE,TRUE,FALSE
"Rachel","DAX","1 day",2023-12-20,-2.14995145797729,-0.397232979536057,-0.0186772737652063,0.547294199466705,1.85046064853668,-0.273071484452636,0.0938439986762329,0.0620807475417102,0.25439421068743,0.410182841959671,0.106176606649466,0.185335681102902,0.25439421068743,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-12-20,-2.88988309728073,-0.553345419345541,0.0630229206958307,0.67824425453561,2.28926474718576,-0.273071484452636,0.130840580641405,0.140136967446453,0.336094405148467,0.475657869494123,0.12811681158192,0.242169326862473,0.336094405148467,TRUE,TRUE,FALSE
"MasterYoda","DAX","1 day",2023-12-20,-1.165,-0.85,-0.5,0.032,0.23,-0.273071484452636,0.0445964257773682,0.288464257773682,0.226928515547364,0.152535742226318,0.0251535742226318,0.147535703109473,0.226928515547364,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-12-20,-1.60986646642053,-0.392582341383848,-0.00133840310509523,0.491511327999003,1.62235512931322,-0.273071484452636,0.0668397490983947,0.059755428465606,0.271733081347541,0.38229140622582,0.0947713306882929,0.175078199165131,0.271733081347541,TRUE,TRUE,FALSE
"mean_ensemble","DAX","2 day",2023-12-20,-2.32578243996146,-0.526398896265278,0.273404281325704,1.06647752064314,2.90743296687488,-0.160716016231532,0.108253321186496,0.182841440016873,0.434120297557236,0.613596768437336,0.153407449155321,0.298443855270653,0.434120297557236,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","2 day",2023-12-20,-0.338211514658098,-0.0473363227182499,0.584471791325836,1.14478796438138,2.49960658281221,-0.160716016231532,0.00887477492132826,0.170069540269924,0.745187807557368,0.652751990306455,0.133016129952187,0.341980048601452,0.745187807557368,FALSE,TRUE,FALSE
"median_ensemble","DAX","2 day",2023-12-20,-2.27811145782471,-0.576670397189094,0.094240362254272,0.904870350118658,2.49960658281221,-0.160716016231532,0.105869772079659,0.207977190478781,0.254956378485804,0.532793183175095,0.133016129952187,0.246922530834305,0.254956378485804,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","2 day",2023-12-20,-3.25976827037933,-0.696404321848714,0.0911250041379164,0.847436251373654,3.03163878784034,-0.160716016231532,0.15495261270739,0.267844152808591,0.251841020369449,0.504076133802593,0.159617740203594,0.267666331978323,0.251841020369449,TRUE,TRUE,FALSE
"MasterYoda","DAX","2 day",2023-12-20,-1.17,-0.79,-0.39,0.44,2.203,-0.160716016231532,0.0504641991884234,0.314641991884234,0.229283983768468,0.300358008115766,0.118185800811577,0.202586796753694,0.229283983768468,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","2 day",2023-12-20,-2.892,-0.792,1.754,3.462,6.28,-0.160716016231532,0.136564199188423,0.315641991884234,1.91471601623153,1.81135800811577,0.322035800811577,0.900063203246307,1.91471601623153,TRUE,TRUE,FALSE
"Phoebe","DAX","2 day",2023-12-20,-2.21715690986751,-0.576670397189094,0.0314472211703887,0.804079811885128,2.36457908128045,-0.160716016231532,0.102822044681799,0.207977190478781,0.192163237401921,0.48239791405833,0.126264754875599,0.222325028299286,0.192163237401921,TRUE,TRUE,FALSE
