"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"BrienneVonTarth","DAX","1 day",2023-11-15,-3.32126527152158,-0.551382771440112,0.0609687251441393,0.720872569388264,2.71977200360272,0.243797155991388,0.178253121375648,0.39758996371575,0.182828430847248,0.238537706698438,0.123798742380567,0.22420159300353,0.182828430847248,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-11-15,-2.2573335,-0.522929395988718,0.0566543432883204,0.69104375326022,2.14031412130575,0.243797155991388,0.125056532799569,0.383363275990053,0.187142812703067,0.223623298634416,0.0948258482657182,0.202802353678565,0.187142812703067,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2023-11-15,-3.32126527152158,-0.551382771440112,0.0609687251441393,0.720872569388264,2.71977200360272,0.243797155991388,0.178253121375648,0.39758996371575,0.182828430847248,0.238537706698438,0.123798742380567,0.22420159300353,0.182828430847248,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-11-15,-2.79485369106338,-0.498231008085383,0.0827876367552213,0.680673565614292,2.38347902750324,0.243797155991388,0.151932542352738,0.371014082038385,0.161009519236166,0.218438204811452,0.106984093575593,0.201875688402867,0.161009519236166,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-11-15,-1.75275188937792,-0.377895511862003,-0.0562328983153981,0.388798040236874,1.45728627595992,0.243797155991388,0.0998274522684655,0.310846333926695,0.300030054306786,0.0725004421227433,0.0606744559984266,0.168775747724623,0.300030054306786,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-11-15,-1.58389743710809,-0.321414272238618,0.154104894967144,0.701413940906148,1.7937403722244,0.243797155991388,0.0913847296549737,0.282605714115003,0.0896922610242434,0.22880839245738,0.0774971608116509,0.15399765161265,0.0896922610242434,TRUE,TRUE,FALSE
"Phoebe","DAX","1 day",2023-11-15,-1.71279652574754,-0.393846748036975,0.0439378618609432,0.544948263391287,1.66335532113913,0.243797155991388,0.0978296840869464,0.318821952014181,0.199859294130444,0.15057555369995,0.0709779082573872,0.167612878437782,0.199859294130444,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-11-15,-2.49074465443019,-0.61904511619213,0.0523399614325015,0.71565263188873,2.18966924347935,0.243797155991388,0.136727090521079,0.431421136091759,0.191457194558886,0.235927737948671,0.0972936043743982,0.218565352698959,0.191457194558886,TRUE,TRUE,FALSE
"TormundGiantsbane","DAX","1 day",2023-11-15,-1.81429231971749,-0.540770091977437,0.0259546073223327,0.573151375995116,1.84701126385157,0.243797155991388,0.102904473785444,0.392283623984412,0.217842548669055,0.164677110001864,0.0801607053930092,0.191573692366757,0.217842548669055,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-11-15,-2.27945564543551,-0.512600204927189,0.142281313146943,0.834349403896927,2.37472932101954,0.243797155991388,0.126162640071345,0.378198680459288,0.101515842844445,0.29527612395277,0.106546608251408,0.201539979115851,0.101515842844445,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2023-11-15,-2.183,-0.781,1.112,3.088,5.977,0.243797155991388,0.121339857799569,0.512398577995694,0.868202844008612,1.42210142200431,0.286660142200431,0.642140568801723,0.868202844008612,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2023-11-15,-2.4907446537134,-0.619045115021244,0.0439378618609431,0.708736393782106,2.1896692426115,0.243797155991388,0.13672709048524,0.431421135506316,0.199859294130445,0.232469618895359,0.0972936043310056,0.219554148669673,0.199859294130445,TRUE,TRUE,FALSE
"JakePeralta","DAX","1 day",2023-11-15,-2.331667,-0.5050887,0.07506019,0.6624609,2.090959,0.243797155991388,0.128773207799569,0.374442927995694,0.168736965991388,0.209331872004306,0.0923580922004307,0.194728613198278,0.168736965991388,TRUE,TRUE,FALSE
"TyrionLannister","DAX","1 day",2023-11-15,-1.55618903102489,-0.392100352832259,0.051548191591344,0.50661259617204,1.4650380982599,0.243797155991388,0.089999309350814,0.317948754411823,0.192248964400044,0.131407720090326,0.0610620471134258,0.158533359073287,0.192248964400044,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","2 day",2023-11-15,-4.0878949635655,-0.823249681142668,0.0723551404992584,0.987419924708899,3.57049232679329,1.0799261936377,0.25839105786016,0.951587937390186,1.00757105313845,0.138759403393207,0.124528306657779,0.496167551687955,1.00757105313845,FALSE,TRUE,FALSE
"median_ensemble","DAX","2 day",2023-11-15,-3.47936425970439,-0.763797069408775,0.0632687902496292,0.987419924708899,3.22612987840783,1.0799261936377,0.227964522667105,0.921861631523239,1.01665740338807,0.138759403393207,0.107310184238506,0.482510629042026,1.01665740338807,FALSE,TRUE,FALSE
"DAX_benchmark","DAX","2 day",2023-11-15,-4.0878949635655,-0.823249681142668,0.0723551404992584,0.987419924708899,3.57049232679329,1.0799261936377,0.25839105786016,0.951587937390186,1.00757105313845,0.138759403393207,0.124528306657779,0.496167551687955,1.00757105313845,FALSE,TRUE,FALSE
"StannisBaratheon","DAX","2 day",2023-11-15,-3.87355211417655,-0.759710199448199,0.117542760725135,0.940119473102257,3.1414738910308,1.0799261936377,0.247673915390713,0.919818196542951,0.962383432912569,0.20971008080317,0.103077384869655,0.488532602103811,0.962383432912569,FALSE,TRUE,FALSE
"JonSnow","DAX","2 day",2023-11-15,1.32375638039959,2.70798300802095,3.099314002874,3.49705861590107,4.88758361376835,1.0799261936377,0.475468864185675,2.44208522157486,2.0193878092363,1.20856621113168,0.190382871006533,1.26717819542701,2.0193878092363,FALSE,FALSE,FALSE
"CharlesBoyle","DAX","2 day",2023-11-15,-1.8387762856199,-0.767883939369352,0.207425257090588,1.16218127192975,2.49960658281221,1.0799261936377,0.14593512396288,0.923905066503528,0.872500936547116,0.0411275391460242,0.0709840194587255,0.410890537123655,0.872500936547116,TRUE,TRUE,FALSE
"Phoebe","DAX","2 day",2023-11-15,-2.21715690986751,-0.576670397189094,0.0314472211703887,0.804079811885128,2.36457908128045,1.0799261936377,0.164854155175261,0.828298295413399,1.04847897246731,0.413769572628863,0.0642326443821374,0.503926728013395,1.04847897246731,FALSE,TRUE,FALSE
