"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"BrienneVonTarth","DAX","1 day",2023-11-29,-2.88511685983658,-0.539092699342847,0.043882851843849,0.670233730279191,2.48439294680403,0.302511958645368,0.159381440924097,0.420802328994108,0.258629106801519,0.183860885816911,0.109094049407933,0.226353562388914,0.258629106801519,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-11-29,-2.03041389680144,-0.382285157533243,0.236743000301718,0.81292669377288,2.16651193359134,0.302511958645368,0.11664629277234,0.342398558089306,0.0657689583436504,0.255207367563756,0.0931999987472987,0.17464423510327,0.0657689583436504,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2023-11-29,-3.32126527152158,-0.546439101462548,0.0686313077538969,0.71827355543963,2.71977200360272,0.302511958645368,0.181188861508347,0.424475530053958,0.233880650891471,0.207880798397131,0.120863002247868,0.233657768619755,0.233880650891471,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2023-11-29,-3.17745222597765,-0.569902164328964,0.0885583058779726,0.785580130674165,2.60766053467612,0.302511958645368,0.173998209231151,0.436207061487166,0.213953652767396,0.241534086014398,0.115257428801538,0.23619008766033,0.213953652767396,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-11-29,-2.86598216577398,-0.544096351206487,0.065096207298225,0.661908329165538,2.28500482536246,0.302511958645368,0.158424706220968,0.423304154925928,0.237415751347143,0.179698185260085,0.0991246433358547,0.219593488217996,0.237415751347143,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-11-29,-1.24348188072672,-0.0853074745163162,0.224057729711458,0.701413940906148,1.54123822687243,0.302511958645368,0.0772996919686046,0.193909716580842,0.0784542289339108,0.19945099113039,0.0619363134113531,0.12221018840502,0.0784542289339108,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-11-29,-2.154,-0.451710011424943,0.0823160238510034,0.661908329165538,1.64542701678058,0.302511958645368,0.122825597932268,0.377110985035156,0.220195934794365,0.179698185260085,0.0671457529067606,0.193395291185727,0.220195934794365,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-11-29,-1.40372527338609,-0.397952523570089,0.0823160238510034,0.488504776629606,1.63059737371597,0.302511958645368,0.0853118616015731,0.350232241107729,0.220195934794365,0.0929964089921187,0.0664042707535303,0.163028143449863,0.220195934794365,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-11-29,-2.26301517618043,-0.388991453489605,0.0966890594074181,0.605486893219268,1.64542701678058,0.302511958645368,0.12827635674129,0.345751706067487,0.20582289923795,0.15148746728695,0.0671457529067606,0.179696836448087,0.20582289923795,TRUE,TRUE,FALSE
"MasterYoda","DAX","1 day",2023-11-29,-1.0526,-0.1116,0.0822,0.1022,0.8792,0.302511958645368,0.0677555979322684,0.207055979322684,0.220311958645368,0.300467937968053,0.0288344020677316,0.164885175187221,0.220311958645368,FALSE,TRUE,FALSE
