"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"BrienneVonTarth","DAX","1 day",2023-11-22,-1.68315528164724,-0.579230534037529,0,0.579230534037529,1.68315528164724,0.231031149407457,0.0957093215527346,0.405130841722493,0.231031149407457,0.174099692315036,0.072606206611989,0.195715442321942,0.231031149407457,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-11-22,-2.00568794711217,-0.444661168081641,0.164150465053053,0.770305990361299,2.16806900648129,0.231031149407457,0.111835954825981,0.337846158744549,0.0668806843544038,0.269637420476921,0.0968518928536918,0.176610422251109,0.0668806843544038,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2023-11-22,-3.32126527152158,-0.549640138429952,0.0650187049224371,0.720872569388264,2.71977200360272,0.231031149407457,0.177614821046452,0.390335643918704,0.16601244448502,0.244920709990404,0.124437042709763,0.220664132430069,0.16601244448502,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2023-11-22,-2.76834921637098,-0.488994143617374,0.0404636177168306,0.635171828370344,2.27847860153104,0.231031149407457,0.149969018288922,0.360012646512415,0.190567531690626,0.202070339481444,0.102372372606179,0.200998381715917,0.190567531690626,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-11-22,-2.23128648571699,-0.49250988729303,0.0386132583602581,0.514265128578774,1.71749800228956,0.231031149407457,0.123115881756222,0.361770518350244,0.192417891047199,0.141616989585659,0.0743233426441052,0.178648924676686,0.192417891047199,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-11-22,-1.58389743710809,-0.279140278470313,0.154104894967144,0.609970977598451,1.54123822687243,0.231031149407457,0.0907464293257771,0.255085713938885,0.0769262544403126,0.189469914095497,0.0655103538732487,0.135547733134744,0.0769262544403126,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-11-22,-2.183,-0.489277397944791,0.0772282349448261,0.635171828370344,1.71749800228956,0.231031149407457,0.120701557470373,0.360154273676124,0.153802914462631,0.202070339481444,0.0743233426441052,0.182210485546935,0.153802914462631,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-11-22,-1.40372527338609,-0.410953514542456,0.0772282349448261,0.502717367719008,1.63059737371597,0.231031149407457,0.0817378211396775,0.320992331974956,0.153802914462631,0.135843109155775,0.0699783112154258,0.152470897589693,0.153802914462631,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-11-22,-2.71325477741272,-0.489277397944791,0.0805351630495085,0.675037249502668,2.3401604884611,0.231031149407457,0.147214296341009,0.360154273676124,0.150495986357948,0.222003050047606,0.105456466952682,0.197064814675074,0.150495986357948,TRUE,TRUE,FALSE
"MasterYoda","DAX","1 day",2023-11-22,-1.0526,-0.1116,0.0822,0.1022,0.8792,0.231031149407457,0.0641815574703728,0.171315574703728,0.148831149407457,0.193246724111185,0.0324084425296272,0.121996689644474,0.148831149407457,FALSE,TRUE,FALSE
