Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.11.2023;00:00;00:15;11.033,5;7.394,5;259,75
01.11.2023;00:15;00:30;10.875,75;7.199,25;315,75
01.11.2023;00:30;00:45;10.778,75;7.131,5;356,75
01.11.2023;00:45;01:00;10.631,5;7.044,75;386,25
01.11.2023;01:00;01:15;10.425,75;6.882,25;223,25
01.11.2023;01:15;01:30;10.328,5;6.863,5;231,5
01.11.2023;01:30;01:45;10.273;6.843,75;266,5
01.11.2023;01:45;02:00;10.206,25;6.797;331
01.11.2023;02:00;02:15;10.084;6.674,75;392
01.11.2023;02:15;02:30;10.024;6.558,25;576,75
01.11.2023;02:30;02:45;9.952,5;6.444;660,25
01.11.2023;02:45;03:00;9.999,25;6.467,25;631,75
01.11.2023;03:00;03:15;9.984;6.427;582
01.11.2023;03:15;03:30;9.980,5;6.331;742,5
01.11.2023;03:30;03:45;9.921,5;6.223,75;812
01.11.2023;03:45;04:00;9.961,5;6.212;908,25
01.11.2023;04:00;04:15;9.994,5;6.164,25;1.065,25
01.11.2023;04:15;04:30;10.008,25;6.117,75;1.117,75
01.11.2023;04:30;04:45;10.132,75;6.197,25;1.078,5
01.11.2023;04:45;05:00;10.228;6.285,5;1.085,5
01.11.2023;05:00;05:15;10.397;6.413,25;800,5
01.11.2023;05:15;05:30;10.497,75;6.478;767,25
01.11.2023;05:30;05:45;10.629;6.613,25;615,5
01.11.2023;05:45;06:00;10.806,75;6.760,25;547,25
01.11.2023;06:00;06:15;11.130,25;7.059,75;489,25
01.11.2023;06:15;06:30;11.283,75;7.173;328,5
01.11.2023;06:30;06:45;11.560;7.396,5;189,25
01.11.2023;06:45;07:00;11.738,75;7.524,75;129,5
01.11.2023;07:00;07:15;11.917,5;7.711;60,25
01.11.2023;07:15;07:30;12.060,5;7.780,5;61,5
01.11.2023;07:30;07:45;12.201;7.694,5;52,75
01.11.2023;07:45;08:00;12.295,25;7.531,75;50,75
01.11.2023;08:00;08:15;12.439;7.348,75;14,25
01.11.2023;08:15;08:30;12.594,75;7.124;5
01.11.2023;08:30;08:45;12.817,25;7.001;14
01.11.2023;08:45;09:00;12.964;6.824;60,75
01.11.2023;09:00;09:15;12.994,25;6.560,25;40,25
01.11.2023;09:15;09:30;13.167,75;6.404,75;84
01.11.2023;09:30;09:45;13.362,25;6.256;220
01.11.2023;09:45;10:00;13.546,25;6.103,5;288,5
01.11.2023;10:00;10:15;13.709;6.007,75;187
01.11.2023;10:15;10:30;13.867,75;5.922,75;263,25
01.11.2023;10:30;10:45;13.878,25;5.690,25;309,25
01.11.2023;10:45;11:00;13.837,75;5.460;328,75
01.11.2023;11:00;11:15;13.821,75;5.295,5;276,75
01.11.2023;11:15;11:30;13.998,75;5.338;415,5
01.11.2023;11:30;11:45;14.139,5;5.373,75;390,25
01.11.2023;11:45;12:00;14.163;5.319;469
01.11.2023;12:00;12:15;14.088,75;5.202;326,5
