Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.11.2023;12:15;12:30;14.031,5;5.240,5;452,25
01.11.2023;12:30;12:45;14.042;5.384,25;276
01.11.2023;12:45;13:00;13.906,5;5.316;348,75
01.11.2023;13:00;13:15;13.780,5;5.331,5;557,25
01.11.2023;13:15;13:30;13.577,25;5.252,75;561,75
01.11.2023;13:30;13:45;13.474,25;5.272,75;460,5
01.11.2023;13:45;14:00;13.433;5.435,5;473,5
01.11.2023;14:00;14:15;13.412,75;5.680;737
01.11.2023;14:15;14:30;13.267,5;5.775;462,5
01.11.2023;14:30;14:45;13.243,5;6.010,75;211,75
01.11.2023;14:45;15:00;13.157,25;6.180,75;57,25
01.11.2023;15:00;15:15;13.188,25;6.423,75;143,25
01.11.2023;15:15;15:30;13.199,75;6.621,75;67
01.11.2023;15:30;15:45;13.177,25;6.810,25;58,25
01.11.2023;15:45;16:00;13.071,5;6.764,25;65,75
01.11.2023;16:00;16:15;13.104,25;6.792,75;62
01.11.2023;16:15;16:30;13.245,5;6.830,75;30,75
01.11.2023;16:30;16:45;13.371;6.780;14,5
01.11.2023;16:45;17:00;13.547,75;6.684;14
01.11.2023;17:00;17:15;13.929;6.854;36,5
01.11.2023;17:15;17:30;14.304,5;6.981,5;18
01.11.2023;17:30;17:45;14.492,25;6.915;21,5
01.11.2023;17:45;18:00;14.584,75;6.739,25;91
01.11.2023;18:00;18:15;14.516,75;6.417;80,5
01.11.2023;18:15;18:30;14.489,5;6.185,5;52,25
01.11.2023;18:30;18:45;14.468,25;5.959,25;125
01.11.2023;18:45;19:00;14.527,5;5.865;130
01.11.2023;19:00;19:15;14.466,75;5.704,5;22,25
01.11.2023;19:15;19:30;14.397,75;5.586,75;13,5
01.11.2023;19:30;19:45;14.245;5.385,25;68,75
01.11.2023;19:45;20:00;14.075,25;5.171,25;161,25
01.11.2023;20:00;20:15;13.913,75;5.023,5;181,75
01.11.2023;20:15;20:30;13.779,25;4.908;295,5
01.11.2023;20:30;20:45;13.660,25;4.834;564,25
01.11.2023;20:45;21:00;13.581;4.826,75;831,5
01.11.2023;21:00;21:15;13.347,5;4.641,25;233,5
01.11.2023;21:15;21:30;13.177,25;4.430;398
01.11.2023;21:30;21:45;13.056,25;4.321;635,25
01.11.2023;21:45;22:00;12.901,25;4.252;822
01.11.2023;22:00;22:15;12.887,25;4.349,5;545,25
01.11.2023;22:15;22:30;12.747;4.165,25;615
01.11.2023;22:30;22:45;12.557,25;4.006,25;859,75
01.11.2023;22:45;23:00;12.376,75;3.933,25;1.061
01.11.2023;23:00;23:15;12.121,25;3.777,25;704,25
01.11.2023;23:15;23:30;11.908;3.653,25;862
01.11.2023;23:30;23:45;11.739;3.544;1.050,75
01.11.2023;23:45;00:00;11.678,5;3.549,75;1.119
02.11.2023;00:00;00:15;11.343,75;3.511,5;1.123,5
02.11.2023;00:15;00:30;11.113,75;3.345,75;1.253
02.11.2023;00:30;00:45;10.977,5;3.378,25;1.261,75
02.11.2023;00:45;01:00;10.864;3.404;1.239
02.11.2023;01:00;01:15;10.661,75;3.243;1.224
02.11.2023;01:15;01:30;10.595,75;3.261;1.266,75
02.11.2023;01:30;01:45;10.557,25;3.286,5;1.264,75
02.11.2023;01:45;02:00;10.455,5;3.267;1.260,25
02.11.2023;02:00;02:15;10.339;3.139,75;1.263,5
02.11.2023;02:15;02:30;10.402,75;3.164,5;1.282,5
02.11.2023;02:30;02:45;10.431,5;3.190;1.302,75
02.11.2023;02:45;03:00;10.440;3.220,5;1.289
02.11.2023;03:00;03:15;10.361,25;3.101;1.281,25
02.11.2023;03:15;03:30;10.284;2.975,5;1.374,5
02.11.2023;03:30;03:45;10.345;3.055,25;1.325
02.11.2023;03:45;04:00;10.251,25;2.958,75;1.349
02.11.2023;04:00;04:15;10.367,75;2.947,25;1.315,25
02.11.2023;04:15;04:30;10.563,75;2.972,25;1.331,75
02.11.2023;04:30;04:45;10.719,75;2.948;1.208
02.11.2023;04:45;05:00;10.967,25;3.012,5;1.205
02.11.2023;05:00;05:15;11.461,75;3.365;1.104,75
02.11.2023;05:15;05:30;11.690;3.398,25;1.104,5
02.11.2023;05:30;05:45;12.021,25;3.544,5;1.042,75
02.11.2023;05:45;06:00;12.568,5;3.809,25;919,25
02.11.2023;06:00;06:15;13.464,25;4.368,25;768,25
02.11.2023;06:15;06:30;13.975,75;4.619;456
02.11.2023;06:30;06:45;14.419,75;4.711,25;370,5
02.11.2023;06:45;07:00;14.869;5.005,5;301,5
02.11.2023;07:00;07:15;15.309,5;5.138,5;427,25
02.11.2023;07:15;07:30;15.572,5;5.158;231,5
02.11.2023;07:30;07:45;15.938,75;5.232,75;215,25
02.11.2023;07:45;08:00;16.327;5.483,5;203,5
02.11.2023;08:00;08:15;16.544,25;5.671,5;14,75
02.11.2023;08:15;08:30;16.621;5.665,75;2,25
02.11.2023;08:30;08:45;16.765;5.734;39
02.11.2023;08:45;09:00;16.705;5.596,25;18,5
02.11.2023;09:00;09:15;16.747;5.796,75;2,25
02.11.2023;09:15;09:30;16.881,75;5.843;3,25
02.11.2023;09:30;09:45;17.000,5;5.784;2,75
02.11.2023;09:45;10:00;17.094,25;5.778;3,25
02.11.2023;10:00;10:15;16.932,5;5.549;4
02.11.2023;10:15;10:30;16.924,75;5.418,5;117,5
02.11.2023;10:30;10:45;16.938,5;5.346,25;86
02.11.2023;10:45;11:00;17.152,5;5.537,5;127,25
02.11.2023;11:00;11:15;17.238,5;5.650;233,5
02.11.2023;11:15;11:30;17.345,5;5.697,75;286
02.11.2023;11:30;11:45;17.419,75;5.737,25;228,75
02.11.2023;11:45;12:00;17.390,5;5.583,75;240,75
02.11.2023;12:00;12:15;17.461,75;5.547,75;329,25
02.11.2023;12:15;12:30;17.400;5.515,5;427,25
02.11.2023;12:30;12:45;17.275,75;5.547;368
02.11.2023;12:45;13:00;17.128,25;5.553,75;384
02.11.2023;13:00;13:15;17.078,75;5.561,25;590,75
02.11.2023;13:15;13:30;17.104;5.696,5;512,5
02.11.2023;13:30;13:45;17.001,5;5.687;448,75
02.11.2023;13:45;14:00;16.861,5;5.544,25;492,25
02.11.2023;14:00;14:15;16.892,75;5.576,5;601,5
02.11.2023;14:15;14:30;16.817,75;5.621;313,5
02.11.2023;14:30;14:45;16.636;5.602,25;287,25
02.11.2023;14:45;15:00;16.479,25;5.679,25;215,75
02.11.2023;15:00;15:15;16.525,25;5.896,5;442,75
02.11.2023;15:15;15:30;16.376,75;5.889,5;293,5
02.11.2023;15:30;15:45;16.256,25;5.850,25;193,5
02.11.2023;15:45;16:00;16.195,5;5.942,5;70
02.11.2023;16:00;16:15;16.250;6.118,75;296
02.11.2023;16:15;16:30;16.229,75;6.061,5;126
02.11.2023;16:30;16:45;16.238;5.975,25;186,75
02.11.2023;16:45;17:00;16.471;6.266,25;110,5
02.11.2023;17:00;17:15;16.600,5;6.445;171,25
02.11.2023;17:15;17:30;16.804,75;6.650;98,5
02.11.2023;17:30;17:45;16.893,25;6.740,5;94,5
02.11.2023;17:45;18:00;16.879;6.724;119,25
02.11.2023;18:00;18:15;16.994;6.771,25;76,5
02.11.2023;18:15;18:30;16.828,75;6.669,25;36,5
02.11.2023;18:30;18:45;16.798,25;6.827,25;21
02.11.2023;18:45;19:00;16.617,5;6.846;2,25
02.11.2023;19:00;19:15;16.378,25;6.707,75;2,25
02.11.2023;19:15;19:30;16.206,25;6.563,25;19
02.11.2023;19:30;19:45;16.148,75;6.618,75;23,25
02.11.2023;19:45;20:00;16.007;6.654,25;39,5
02.11.2023;20:00;20:15;15.733;6.617;31
02.11.2023;20:15;20:30;15.508,75;6.556,75;29,75
02.11.2023;20:30;20:45;15.255;6.376;105,5
02.11.2023;20:45;21:00;14.935;6.190,25;199,25
02.11.2023;21:00;21:15;14.771;6.064,5;202
02.11.2023;21:15;21:30;14.632;6.039,5;197
02.11.2023;21:30;21:45;14.382,75;5.900,5;210,5
02.11.2023;21:45;22:00;14.083,75;5.758,75;399,75
02.11.2023;22:00;22:15;13.794;5.702,25;111,75
02.11.2023;22:15;22:30;13.634,25;5.532,5;189,5
02.11.2023;22:30;22:45;13.291,5;5.289,25;321,5
02.11.2023;22:45;23:00;13.108,75;5.224;491
02.11.2023;23:00;23:15;12.910,25;5.056,5;697
02.11.2023;23:15;23:30;12.646;4.921;962,25
02.11.2023;23:30;23:45;12.453,25;4.796,25;1.091,5
02.11.2023;23:45;00:00;12.270;4.694,25;1.252
03.11.2023;00:00;00:15;12.072;4.131;932
03.11.2023;00:15;00:30;11.974,75;3.933;967,75
03.11.2023;00:30;00:45;11.809;3.901;1.181,5
03.11.2023;00:45;01:00;11.655,25;3.977,25;1.206
03.11.2023;01:00;01:15;11.393,5;3.741;1.137,25
03.11.2023;01:15;01:30;11.301,25;3.835,75;1.139,75
03.11.2023;01:30;01:45;11.200,25;3.744,75;1.238,5
03.11.2023;01:45;02:00;11.131;3.630,5;1.281,25
03.11.2023;02:00;02:15;11.039,25;3.664,5;1.281
03.11.2023;02:15;02:30;11.035,75;3.756,75;1.285
03.11.2023;02:30;02:45;11.101;3.904,5;1.262
03.11.2023;02:45;03:00;11.062,75;3.910,25;1.274,5
03.11.2023;03:00;03:15;11.004,75;3.962,25;1.255,75
03.11.2023;03:15;03:30;11.090;3.995,5;1.262,25
03.11.2023;03:30;03:45;11.196;4.016,75;1.269,25
03.11.2023;03:45;04:00;11.358;4.149,25;1.234,25
03.11.2023;04:00;04:15;11.466,5;4.193,5;1.205,75
03.11.2023;04:15;04:30;11.492;4.189;1.230,75
03.11.2023;04:30;04:45;11.614,5;4.193;1.181,25
03.11.2023;04:45;05:00;11.809,5;4.371;967,25
03.11.2023;05:00;05:15;12.257,5;4.846;1.006,75
03.11.2023;05:15;05:30;12.593,5;5.198;927
03.11.2023;05:30;05:45;12.857,5;5.614;470,25
03.11.2023;05:45;06:00;13.191,5;5.882,75;226,25
03.11.2023;06:00;06:15;13.877,75;6.407,5;446,5
03.11.2023;06:15;06:30;14.181,25;6.713,75;195,5
03.11.2023;06:30;06:45;14.483,75;7.037,75;87,5
03.11.2023;06:45;07:00;14.921,75;7.546,5;62,25
03.11.2023;07:00;07:15;15.427,5;7.835;66,5
03.11.2023;07:15;07:30;15.672,25;8.112,25;12,5
03.11.2023;07:30;07:45;15.819,75;8.279;10,25
03.11.2023;07:45;08:00;15.975,5;8.407;4,5
03.11.2023;08:00;08:15;16.308,75;8.612,75;2,25
03.11.2023;08:15;08:30;16.452,75;8.709;1,25
03.11.2023;08:30;08:45;16.544,25;8.687,25;2
03.11.2023;08:45;09:00;16.469;8.465,75;2,5
03.11.2023;09:00;09:15;16.442,75;8.228,25;2
03.11.2023;09:15;09:30;16.497;8.161,25;1,75
03.11.2023;09:30;09:45;16.619,25;8.230,75;1,5
03.11.2023;09:45;10:00;16.577;8.085,5;31,25
03.11.2023;10:00;10:15;16.464,5;7.758,5;0,75
03.11.2023;10:15;10:30;16.511,5;7.667;1,75
03.11.2023;10:30;10:45;16.535;7.571,25;1,25
03.11.2023;10:45;11:00;16.590,75;7.532,75;1,25
03.11.2023;11:00;11:15;16.641,25;7.443;2,25
03.11.2023;11:15;11:30;16.694;7.362,25;2,5
03.11.2023;11:30;11:45;16.647,5;7.274,75;12,25
03.11.2023;11:45;12:00;16.681;7.341;63
03.11.2023;12:00;12:15;16.611,25;7.381,75;5,75
03.11.2023;12:15;12:30;16.553,25;7.355,5;3
03.11.2023;12:30;12:45;16.476,25;7.397,25;3
03.11.2023;12:45;13:00;16.313,25;7.405;3
03.11.2023;13:00;13:15;16.256,75;7.423,5;2,25
03.11.2023;13:15;13:30;16.034,75;7.413,75;2,75
03.11.2023;13:30;13:45;15.932,5;7.479,25;35,75
03.11.2023;13:45;14:00;15.741,25;7.501,5;64,5
03.11.2023;14:00;14:15;15.595,25;7.588;148,75
03.11.2023;14:15;14:30;15.702;7.952,75;47,75
03.11.2023;14:30;14:45;15.405;7.960,5;2
03.11.2023;14:45;15:00;15.361;8.262,25;1,75
03.11.2023;15:00;15:15;15.368,25;8.582;2,75
03.11.2023;15:15;15:30;15.296;8.784,5;2,25
03.11.2023;15:30;15:45;15.195,5;9.039,75;1,75
03.11.2023;15:45;16:00;15.185,25;9.369,5;1,75
03.11.2023;16:00;16:15;15.298;9.706,25;3
03.11.2023;16:15;16:30;15.337,75;9.799,25;1,75
03.11.2023;16:30;16:45;15.341,25;9.786,25;1,75
03.11.2023;16:45;17:00;15.510,75;9.923,25;1,75
03.11.2023;17:00;17:15;15.715,25;9.962;1,75
03.11.2023;17:15;17:30;15.892,75;10.004,25;1,5
03.11.2023;17:30;17:45;15.970;9.996,5;1,25
03.11.2023;17:45;18:00;15.963,75;9.930,25;1,25
03.11.2023;18:00;18:15;15.936;9.800,5;1,25
03.11.2023;18:15;18:30;15.878,25;9.605;1,25
03.11.2023;18:30;18:45;15.813,75;9.405,25;1,25
03.11.2023;18:45;19:00;15.728,5;9.228,25;1
03.11.2023;19:00;19:15;15.596,25;9.000;1,25
03.11.2023;19:15;19:30;15.470,5;8.830,5;2,5
03.11.2023;19:30;19:45;15.275;8.517,75;2,5
03.11.2023;19:45;20:00;15.174,75;8.322;2,75
03.11.2023;20:00;20:15;14.924,25;7.904,75;35,25
03.11.2023;20:15;20:30;14.725,75;7.532,5;215,25
03.11.2023;20:30;20:45;14.569,25;7.323;234,25
03.11.2023;20:45;21:00;14.399,25;7.054,25;280
03.11.2023;21:00;21:15;14.216,25;6.788,75;93,75
03.11.2023;21:15;21:30;14.074,25;6.585,5;83,5
03.11.2023;21:30;21:45;13.771,25;6.307,75;89,5
03.11.2023;21:45;22:00;13.512;6.168,5;319,75
03.11.2023;22:00;22:15;13.345,75;6.204,75;13
03.11.2023;22:15;22:30;13.113,5;6.068,75;7,5
03.11.2023;22:30;22:45;12.790,25;5.758;4,75
03.11.2023;22:45;23:00;12.456;5.410;16
03.11.2023;23:00;23:15;12.319,5;5.266,75;32,5
03.11.2023;23:15;23:30;12.237;5.215,25;84,25
03.11.2023;23:30;23:45;12.064,75;5.012,5;101,75
03.11.2023;23:45;00:00;11.734,25;4.625,25;239,25
04.11.2023;00:00;00:15;11.611,75;4.477,75;125
04.11.2023;00:15;00:30;11.456,75;4.267,25;137
04.11.2023;00:30;00:45;11.394;4.166,25;241,5
04.11.2023;00:45;01:00;11.339,5;4.069;399,25
04.11.2023;01:00;01:15;11.142,25;3.888,75;248,75
04.11.2023;01:15;01:30;10.999;3.691,5;345,5
04.11.2023;01:30;01:45;10.957,25;3.674;421,25
04.11.2023;01:45;02:00;10.891,25;3.555,25;496,25
04.11.2023;02:00;02:15;10.839,25;3.467;646,5
04.11.2023;02:15;02:30;10.811,5;3.394,25;758,25
04.11.2023;02:30;02:45;10.728,25;3.293,75;844,75
04.11.2023;02:45;03:00;10.723;3.239,75;834
04.11.2023;03:00;03:15;10.683;3.179,25;775
04.11.2023;03:15;03:30;10.702,5;3.204;832,5
04.11.2023;03:30;03:45;10.713,25;3.237,5;828
04.11.2023;03:45;04:00;10.676;3.233;921,5
04.11.2023;04:00;04:15;10.736,75;3.294,75;1.202,75
04.11.2023;04:15;04:30;10.638,75;3.198,5;1.235,25
04.11.2023;04:30;04:45;10.677,5;3.226,75;1.216,5
04.11.2023;04:45;05:00;10.738,5;3.200,75;1.249,5
04.11.2023;05:00;05:15;10.746,25;3.143,25;1.281,5
04.11.2023;05:15;05:30;10.758,5;3.143,5;1.321,25
04.11.2023;05:30;05:45;10.882,25;3.320,25;1.142,25
04.11.2023;05:45;06:00;10.926,25;3.387,25;1.115,75
04.11.2023;06:00;06:15;11.009,75;3.390,5;988,25
04.11.2023;06:15;06:30;11.131,25;3.478,25;727,25
04.11.2023;06:30;06:45;11.238,75;3.600,25;535,75
04.11.2023;06:45;07:00;11.352,5;3.787,25;434
04.11.2023;07:00;07:15;11.533,5;3.967,25;146,25
04.11.2023;07:15;07:30;11.565;3.946;114,75
04.11.2023;07:30;07:45;11.757,25;3.880,5;110,25
04.11.2023;07:45;08:00;12.025,25;3.935,75;115,75
04.11.2023;08:00;08:15;12.259,25;3.984,25;185,5
04.11.2023;08:15;08:30;12.520;3.972,75;183,5
04.11.2023;08:30;08:45;12.669,5;3.763,25;235,5
04.11.2023;08:45;09:00;12.861,25;3.633,75;412,5
04.11.2023;09:00;09:15;13.007;3.418;507,5
04.11.2023;09:15;09:30;13.187,25;3.231,75;755,25
04.11.2023;09:30;09:45;13.469,25;3.275,25;781,25
04.11.2023;09:45;10:00;13.567,75;3.078,25;1.060
04.11.2023;10:00;10:15;13.580,5;2.697;967
04.11.2023;10:15;10:30;13.746;2.619;995,25
04.11.2023;10:30;10:45;13.634,75;2.325,5;1.167,75
04.11.2023;10:45;11:00;13.882,5;2.461,5;1.169
04.11.2023;11:00;11:15;14.089,5;2.493,5;1.007
04.11.2023;11:15;11:30;14.114;2.455,25;999
04.11.2023;11:30;11:45;14.287,75;2.559,5;966,25
04.11.2023;11:45;12:00;14.207,5;2.561,5;912
04.11.2023;12:00;12:15;14.100,5;2.640;565,5
04.11.2023;12:15;12:30;14.008,25;2.742,75;526
04.11.2023;12:30;12:45;13.845,5;2.858,25;400
04.11.2023;12:45;13:00;13.679;2.955,25;334,75
04.11.2023;13:00;13:15;13.446,5;2.978;439
04.11.2023;13:15;13:30;13.173,25;2.952;441,75
04.11.2023;13:30;13:45;13.234,25;3.297,75;234,5
04.11.2023;13:45;14:00;13.192;3.515,5;160,75
04.11.2023;14:00;14:15;13.212;3.810;231
04.11.2023;14:15;14:30;13.047,75;3.876,25;155,5
04.11.2023;14:30;14:45;13.079,75;4.022,25;131,25
04.11.2023;14:45;15:00;13.088,25;4.105;123,75
04.11.2023;15:00;15:15;13.241,75;4.380,5;239,75
04.11.2023;15:15;15:30;13.219,25;4.484;199,25
04.11.2023;15:30;15:45;13.271,75;4.570,25;194
04.11.2023;15:45;16:00;13.412,5;4.684,75;104,5
04.11.2023;16:00;16:15;13.325,25;4.515,25;111,75
04.11.2023;16:15;16:30;13.378;4.458,25;114,25
04.11.2023;16:30;16:45;13.583;4.540;112
04.11.2023;16:45;17:00;13.848,25;4.617;85,5
04.11.2023;17:00;17:15;14.270,5;4.812,5;7
04.11.2023;17:15;17:30;14.554;4.871,75;2,25
04.11.2023;17:30;17:45;14.809,25;4.910;2,5
04.11.2023;17:45;18:00;14.923,25;4.759,75;2,5
04.11.2023;18:00;18:15;14.897,25;4.531;44,25
04.11.2023;18:15;18:30;14.772;4.214,25;112,75
04.11.2023;18:30;18:45;14.656,5;3.996,75;134,75
04.11.2023;18:45;19:00;14.483;3.782,75;193,75
04.11.2023;19:00;19:15;14.408,5;3.685,5;75,25
04.11.2023;19:15;19:30;14.187,5;3.456,25;108
04.11.2023;19:30;19:45;13.963,25;3.209;150,5
04.11.2023;19:45;20:00;13.852,5;3.092;223,75
04.11.2023;20:00;20:15;13.589,75;2.865;122
04.11.2023;20:15;20:30;13.311,5;2.571,5;209
04.11.2023;20:30;20:45;13.124,25;2.428,25;269,5
04.11.2023;20:45;21:00;12.995,25;2.336;417,75
04.11.2023;21:00;21:15;12.946,75;2.380,75;376,75
04.11.2023;21:15;21:30;12.813,75;2.363,5;454,25
04.11.2023;21:30;21:45;12.578,75;2.284,5;616,75
04.11.2023;21:45;22:00;12.327,5;2.228,5;683
04.11.2023;22:00;22:15;12.265,5;2.428;611,5
04.11.2023;22:15;22:30;12.107,5;2.401,5;622,5
04.11.2023;22:30;22:45;11.960,75;2.359,5;615
04.11.2023;22:45;23:00;11.839,25;2.405;676,75
04.11.2023;23:00;23:15;11.481,25;2.173,75;714,75
04.11.2023;23:15;23:30;11.255,25;2.132,75;803
04.11.2023;23:30;23:45;11.144,75;2.202;901,75
04.11.2023;23:45;00:00;11.003;2.214,75;979,5
05.11.2023;00:00;00:15;10.824,5;2.242;1.332,25
05.11.2023;00:15;00:30;10.729,5;2.274,75;1.341,5
05.11.2023;00:30;00:45;10.525,25;2.186,25;1.375,75
05.11.2023;00:45;01:00;10.383,25;2.153,25;1.385
05.11.2023;01:00;01:15;10.154,75;2.001,25;1.391
05.11.2023;01:15;01:30;10.048,75;1.963;1.488,25
05.11.2023;01:30;01:45;9.919,5;1.964,25;1.500,75
05.11.2023;01:45;02:00;9.779,25;1.913,5;1.580,25
05.11.2023;02:00;02:15;9.687,25;2.052,5;1.492,5
05.11.2023;02:15;02:30;9.599,75;2.085,5;1.492,75
05.11.2023;02:30;02:45;9.474,75;1.972;1.498,5
05.11.2023;02:45;03:00;9.430,75;1.967;1.547,25
05.11.2023;03:00;03:15;9.450,5;2.083,75;1.425
05.11.2023;03:15;03:30;9.550,5;2.283;1.412
05.11.2023;03:30;03:45;9.534,75;2.266,5;1.421,75
05.11.2023;03:45;04:00;9.517,5;2.259,75;1.417,25
05.11.2023;04:00;04:15;9.538;2.448;1.414,75
05.11.2023;04:15;04:30;9.573,25;2.552,75;1.404,5
05.11.2023;04:30;04:45;9.614,75;2.606,5;1.339
05.11.2023;04:45;05:00;9.661,5;2.661,25;1.322
05.11.2023;05:00;05:15;9.732;2.776,25;1.262,5
05.11.2023;05:15;05:30;9.674,75;2.700,5;1.287,25
05.11.2023;05:30;05:45;9.693,25;2.644,25;1.279
05.11.2023;05:45;06:00;9.794,25;2.794,25;1.211,25
05.11.2023;06:00;06:15;9.844,5;2.994,5;1.021,25
05.11.2023;06:15;06:30;9.826,25;3.031;915,25
05.11.2023;06:30;06:45;9.842,5;3.001,75;859
05.11.2023;06:45;07:00;9.954,25;3.183;749,25
05.11.2023;07:00;07:15;10.018,25;3.336;714,25
05.11.2023;07:15;07:30;10.083,75;3.439;735
05.11.2023;07:30;07:45;10.271,75;3.548;621,75
05.11.2023;07:45;08:00;10.448,75;3.656,75;478,5
05.11.2023;08:00;08:15;10.656;3.782,25;394,25
05.11.2023;08:15;08:30;10.887,75;3.913,75;369
05.11.2023;08:30;08:45;11.248,75;4.172,5;251,75
05.11.2023;08:45;09:00;11.379,5;4.272,25;220,25
05.11.2023;09:00;09:15;11.461,5;4.310,5;278,25
05.11.2023;09:15;09:30;11.621;4.404,25;241,75
05.11.2023;09:30;09:45;11.755;4.480,5;187,25
05.11.2023;09:45;10:00;11.771,25;4.444,25;199,25
05.11.2023;10:00;10:15;11.944,5;4.542,25;252,5
05.11.2023;10:15;10:30;12.059,75;4.611;237,75
05.11.2023;10:30;10:45;12.238,5;4.738,5;214,75
05.11.2023;10:45;11:00;12.400,25;4.886;216
05.11.2023;11:00;11:15;12.643;5.010,25;228,5
05.11.2023;11:15;11:30;12.750,75;4.978,25;153
05.11.2023;11:30;11:45;12.863,75;4.956,5;129
05.11.2023;11:45;12:00;12.918,25;5.027,25;128,75
05.11.2023;12:00;12:15;12.923,75;4.974,5;124,5
05.11.2023;12:15;12:30;12.899,75;4.874,25;190,5
05.11.2023;12:30;12:45;12.861,25;4.851,75;330,25
05.11.2023;12:45;13:00;12.780,5;4.820,25;395,75
05.11.2023;13:00;13:15;12.591,5;4.695,25;525,75
05.11.2023;13:15;13:30;12.430,25;4.622;577,25
05.11.2023;13:30;13:45;12.349,5;4.612,25;484,5
05.11.2023;13:45;14:00;12.209;4.577,5;494,25
05.11.2023;14:00;14:15;12.120,25;4.631,5;410,75
05.11.2023;14:15;14:30;12.074;4.672;332,25
05.11.2023;14:30;14:45;12.072,25;4.752,25;183,5
05.11.2023;14:45;15:00;11.993,75;4.808,25;134,25
05.11.2023;15:00;15:15;12.050,5;5.032,25;167,25
05.11.2023;15:15;15:30;12.101,75;5.203,25;128,5
05.11.2023;15:30;15:45;12.000,25;5.152,5;17
05.11.2023;15:45;16:00;12.055,75;5.305;2,75
05.11.2023;16:00;16:15;12.182;5.475;2,75
05.11.2023;16:15;16:30;12.201,75;5.509,25;2,75
05.11.2023;16:30;16:45;12.289,75;5.496,5;2,5
05.11.2023;16:45;17:00;12.492,5;5.544,25;2,25
05.11.2023;17:00;17:15;12.834;5.808;2
05.11.2023;17:15;17:30;13.090;5.871;1
05.11.2023;17:30;17:45;13.293,25;5.954,25;0,75
05.11.2023;17:45;18:00;13.430;5.939;0,75
05.11.2023;18:00;18:15;13.523,75;5.888,5;0,75
05.11.2023;18:15;18:30;13.542,5;5.787,25;0,75
05.11.2023;18:30;18:45;13.386,25;5.470,25;0,75
05.11.2023;18:45;19:00;13.249,75;5.121,5;2,25
05.11.2023;19:00;19:15;13.232,25;4.849,5;2,5
05.11.2023;19:15;19:30;13.210,75;4.549,25;6
05.11.2023;19:30;19:45;13.248,25;4.365;152
